Ticker_symbol,Security,GICS_Sector,GICS_Sub_Industry
MMM,3M Company,Industrials,Industrial Conglomerates
ABT,Abbott Laboratories,Health Care,Health Care Equipment &amp; Services
ABBV,AbbVie,Health Care,Pharmaceuticals
ACN,Accenture plc,Information Technology,IT Consulting &amp; Other Services
ATVI,Activision Blizzard,Information Technology,Home Entertainment Software
ADBE,Adobe Systems Inc,Information Technology,Application Software
ADT,ADT Corp,Industrials,Diversified Commercial Services
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail
AES,AES Corp,Utilities,Independent Power Producers &amp; Energy Traders
AET,Aetna Inc,Health Care,Managed Health Care
AFL,AFLAC Inc,Financials,Life &amp; Health Insurance
AMG,Affiliated Managers Group Inc,Financials,Asset Management &amp; Custody Banks
A,Agilent Technologies Inc,Health Care,Health Care Equipment &amp; Services
GAS,AGL Resources Inc.,Utilities,Gas Utilities
APD,Air Products &amp; Chemicals Inc,Materials,Industrial Gases
ARG,Airgas Inc,Materials,Industrial Gases
AKAM,Akamai Technologies Inc,Information Technology,Internet Software &amp; Services
AA,Alcoa Inc,Materials,Aluminum
AGN,Allergan plc,Health Care,Pharmaceuticals
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology
ALLE,Allegion,Industrials,Building Products
ADS,Alliance Data Systems,Information Technology,Data Processing &amp; Outsourced Services
ALL,Allstate Corp,Financials,Property &amp; Casualty Insurance
GOOGL,Alphabet Inc Class A,Information Technology,Internet Software &amp; Services
GOOG,Alphabet Inc Class C,Information Technology,Internet Software &amp; Services
MO,Altria Group Inc,Consumer Staples,Tobacco
AMZN,Amazon.com Inc,Consumer Discretionary,Internet Retail
AEE,Ameren Corp,Utilities,MultiUtilities
AAL,American Airlines Group,Industrials,Airlines
AEP,American Electric Power,Utilities,Electric Utilities
AXP,American Express Co,Financials,Consumer Finance
AIG,American International Group, Inc.,Financials,Property &amp; Casualty Insurance
AMT,American Tower Corp A,Financials,Specialized REITs
AWK,American Water Works Company Inc,Utilities,Water Utilities
AMP,Ameriprise Financial,Financials,Diversified Financial Services
ABC,AmerisourceBergen Corp,Health Care,Health Care Distribution &amp; Services
AME,Ametek,Industrials,Electrical Components &amp; Equipment
AMGN,Amgen Inc,Health Care,Biotechnology
APH,Amphenol Corp A,Industrials,Electrical Components &amp; Equipment
APC,Anadarko Petroleum Corp,Energy,Oil &amp; Gas Exploration &amp; Production
ADI,Analog Devices, Inc.,Information Technology,Semiconductors
AON,Aon plc,Financials,Insurance Brokers
APA,Apache Corporation,Energy,Oil &amp; Gas Exploration &amp; Production
AIV,Apartment Investment &amp; Mgmt,Financials,REITs
AAPL,Apple Inc.,Information Technology,Computer Hardware
AMAT,Applied Materials Inc,Information Technology,Semiconductor Equipment
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products
AIZ,Assurant Inc,Financials,Multi-line Insurance
T,AT&amp;T Inc,Telecommunications Services,Integrated Telecommunications Services
ADSK,Autodesk Inc,Information Technology,Application Software
ADP,Automatic Data Processing,Information Technology,Internet Software &amp; Services
AN,AutoNation Inc,Consumer Discretionary,Specialty Stores
AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores
AVGO,Avago Technologies,Information Technology,Semiconductors
AVB,AvalonBay Communities, Inc.,Financials,Residential REITs
AVY,Avery Dennison Corp,Materials,Paper Packaging
BHI,Baker Hughes Inc,Energy,Oil &amp; Gas Equipment &amp; Services
BLL,Ball Corp,Materials,Metal &amp; Glass Containers
BAC,Bank of America Corp,Financials,Banks
BK,The Bank of New York Mellon Corp.,Financials,Banks
BCR,Bard (C.R.) Inc.,Health Care,Health Care Equipment &amp; Services
BXLT,Baxalta,Health Care,Biotechnology
BAX,Baxter International Inc.,Health Care,Health Care Equipment &amp; Services
BBT,BB&amp;T Corporation,Financials,Banks
BDX,Becton Dickinson,Health Care,Health Care Equipment &amp; Services
BBBY,Bed Bath &amp; Beyond,Consumer Discretionary,Specialty Stores
BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings
BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer &amp; Electronics Retail
BIIB,BIOGEN IDEC Inc.,Health Care,Biotechnology
BLK,BlackRock,Financials,Asset Management &amp; Custody Banks
HRB,Block H&amp;R,Financials,Consumer Finance
BA,Boeing Company,Industrials,Aerospace &amp; Defense
BWA,BorgWarner,Consumer Discretionary,Auto Parts &amp; Equipment
BXP,Boston Properties,Financials,REITs
BSX,Boston Scientific,Health Care,Health Care Equipment &amp; Services
BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors &amp; Services
BF-B,Brown-Forman Corporation,Consumer Staples,Distillers &amp; Vintners
CHRW,C. H. Robinson Worldwide,Industrials,Air Freight &amp; Logistics
CA,CA, Inc.,Information Technology,Systems Software
CVC,Cablevision Systems Corp.,Consumer Discretionary,Broadcasting &amp; Cable TV
COG,Cabot Oil &amp; Gas,Energy,Oil &amp; Gas Exploration &amp; Production
CAM,Cameron International Corp.,Energy,Oil &amp; Gas Equipment &amp; Services
CPB,Campbell Soup,Consumer Staples,Packaged Foods &amp; Meats
COF,Capital One Financial,Financials,Consumer Finance
CAH,Cardinal Health Inc.,Health Care,Health Care Distributors &amp; Services
HSIC,Henry Schein,Health Care,Health Care Distributors &amp; Services
KMX,Carmax Inc,Consumer Discretionary,Specialty Stores
CCL,Carnival Corp.,Consumer Discretionary,Hotels, Resorts &amp; Cruise Lines
CAT,Caterpillar Inc.,Industrials,Construction &amp; Farm Machinery &amp; Heavy Trucks
CBG,CBRE Group,Financials,Real Estate Services
CBS,CBS Corp.,Consumer Discretionary,Broadcasting &amp; Cable TV
CELG,Celgene Corp.,Health Care,Biotechnology
CNP,CenterPoint Energy,Utilities,MultiUtilities
CTL,CenturyLink Inc,Telecommunications Services,Integrated Telecommunications Services
CERN,Cerner,Health Care,Health Care Distributors &amp; Services
CF,CF Industries Holdings Inc,Materials,Fertilizers &amp; Agricultural Chemicals
SCHW,Charles Schwab Corporation,Financials,Investment Banking &amp; Brokerage
CHK,Chesapeake Energy,Energy,Integrated Oil &amp; Gas
CVX,Chevron Corp.,Energy,Integrated Oil &amp; Gas
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants
CB,Chubb Limited,Financials,Property &amp; Casualty Insurance
CHD,Church &amp; Dwight,Consumer Staples,Household Products
CI,CIGNA Corp.,Health Care,Managed Health Care
XEC,Cimarex Energy,Energy,Oil &amp; Gas Exploration &amp; Production
